bucket,size
1391,3
1392,2
1393,8
1394,0
1395,4
1396,3
1397,6
1398,4
1399,1
1400,3
1401,4
1402,3
1403,7
1404,6
1405,9
1406,3
1407,5
1408,3
1409,3
1410,2
1411,4
1412,6
1413,5
1414,0
1415,3
1416,4
1417,2
1418,1
1419,2
1420,2
1421,3
1422,3
1423,5
1424,4
1425,3
1426,1
1427,1
1428,5
1429,5
1430,3
1431,6
1432,3
1433,6
1434,0
1435,2
1436,5
1437,2
1438,2
1439,1
1440,1
1441,1
1442,7
1443,4
1444,0
1445,6
1446,5
1447,4
1448,4
1449,3
1450,3
1451,4
1452,2
1453,4
1454,1
1455,1
1456,2
1457,6
1458,3
1459,2
1460,3
1461,6
1462,0
1463,2
1464,2
1465,3
1466,0
1467,2
1468,4
1469,1
1470,7
1471,3
1472,0
1473,1
1474,1
1475,1
1476,0
1477,2
1478,2
1479,2
1480,0
1481,4
1482,2
1483,1
1484,1
1485,3
1486,2
1487,0
1488,2
1489,1
1490,0
1491,0
1492,1
1493,3
1494,3
1495,2
1496,0
1497,1
1498,4
1499,0
1500,1
1501,1
1502,1
1503,0
1504,3
1505,3
1506,2
1507,2
1508,1
1509,0
1510,2
1511,3
1512,4
1513,1
1514,3
1515,4
1516,2
1517,1
1518,2
1519,0
1520,1
1521,4
1522,5
1523,1
1524,0
1525,2
1526,0
1527,2
1528,0
1529,3
1530,2
1531,2
1532,1
1533,2
1534,3
1535,3
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,1
1543,0
1544,0
1545,0
1546,2
1547,0
1548,1
1549,0
1550,1
1551,0
1552,1
1553,0
1554,1
1555,2
1556,1
1557,0
1558,0
1559,0
1560,0
1561,1
1562,0
1563,1
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,1
1579,0
1580,1
1581,1
1582,0
1583,1
1584,1
1585,0
1586,1
1587,1
1588,0
1589,0
1590,0
1591,1
1592,0
1593,0
1594,0
1595,0
1596,0
1597,1
1598,0
1599,0
1600,1
1601,1
1602,0
1603,0
1604,0
1605,0
1606,0
1607,1
1608,0
1609,0
1610,0
1611,0
1612,1
1613,0
1614,0
1615,0
1616,1
1617,0
1618,0
1619,0
1620,1
1621,1
1622,0
1623,0
1624,0
1625,1
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,1
1633,0
1634,1
1635,0
1636,0
1637,0
1638,0
1639,1
1640,1
1641,0
1642,1
1643,0
1644,0
1645,0
1646,2
1647,0
1648,0
1649,1
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,1
1657,0
1658,1
1659,0
1660,1
1661,1
1662,0
1663,1
1664,0
1665,0
1666,1
1667,1
1668,0
1669,2
1670,0
1671,0
1672,1
1673,0
1674,0
1675,0
1676,0
1677,0
1678,2
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,1
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,1
1702,0
1703,0
1704,1
1705,0
1706,0
1707,1
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,0
1718,1
1719,0
1720,0
1721,1
1722,1
1723,0
1724,0
1725,1
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,2
1735,1
1736,0
1737,0
1738,1
1739,1
1740,0
1741,1
1742,0
1743,0
1744,0
1745,0
1746,2
1747,1
1748,0
1749,0
1750,1
1751,0
1752,0
1753,0
1754,2
1755,0
